"","Pathway","N","Up","Down","P.Up","P.Down"
"path:lpl03010","Ribosome",48,0,30,1,1.72632614033121e-12
"path:lpl00052","Galactose metabolism",19,16,1,1.59963479825684e-08,0.973289332119665
"path:lpl00500","Starch and sucrose metabolism",29,19,1,6.77848779957601e-07,0.996087303185002
"path:lpl01100","Metabolic pathways",351,113,35,2.21833914059744e-06,0.999989778788495
"path:lpl02060","Phosphotransferase system (PTS)",29,17,3,2.3660477868324e-05,0.900623092510661
"path:lpl01212","Fatty acid metabolism",20,13,1,4.96577223963957e-05,0.977947593308444
"path:lpl00061","Fatty acid biosynthesis",21,13,1,0.000104003644326126,0.981795252202191
"path:lpl00620","Pyruvate metabolism",39,19,6,0.000234686106036207,0.690078094507578
"path:lpl01120","Microbial metabolism in diverse environments",105,39,10,0.00031518330344884,0.992581373756945
"path:lpl00220","Arginine biosynthesis",9,1,6,0.898342706407767,0.00135206797095246
"path:lpl00640","Propanoate metabolism",20,11,3,0.00145649360977486,0.698425766669069
"path:lpl00010","Glycolysis / Gluconeogenesis",32,15,3,0.001774045884101,0.933793399773894
"path:lpl00520","Amino sugar and nucleotide sugar metabolism",25,12,4,0.00400758684853557,0.650607740859274
"path:lpl01110","Biosynthesis of secondary metabolites",165,51,19,0.00526167715962418,0.987278231601017
"path:lpl00780","Biotin metabolism",9,6,0,0.00550794403467119,1
"path:lpl00600","Sphingolipid metabolism",3,3,0,0.0111719360668422,1
"path:lpl00020","Citrate cycle (TCA cycle)",10,6,0,0.0111895085969763,1
"path:lpl00480","Glutathione metabolism",10,6,0,0.0111895085969763,1
"path:lpl01200","Carbon metabolism",58,20,6,0.0223542921097256,0.952402793755003
"path:lpl00051","Fructose and mannose metabolism",18,8,3,0.0306464618264484,0.625140954509561
"path:lpl01210","2-Oxocarboxylic acid metabolism",8,2,4,0.56496810004301,0.0344182189375278
"path:lpl00040","Pentose and glucuronate interconversions",4,3,0,0.0372192124215793,1
"path:lpl02010","ABC transporters",69,22,16,0.0416800152570269,0.125561793480318
"path:lpl00250","Alanine, aspartate and glutamate metabolism",19,8,4,0.0428734702371064,0.422025645136468
"path:lpl00660","C5-Branched dibasic acid metabolism",2,2,0,0.0500548805633981,1
"path:lpl00906","Carotenoid biosynthesis",2,2,0,0.0500548805633981,1
"path:lpl00511","Other glycan degradation",2,2,0,0.0500548805633981,1
"path:lpl00290","Valine, leucine and isoleucine biosynthesis",2,2,0,0.0500548805633981,1
"path:lpl00650","Butanoate metabolism",10,5,0,0.0508897356630418,1
"path:lpl01130","Biosynthesis of antibiotics",137,38,17,0.07652029231288,0.957766933798276
"path:lpl00430","Taurine and hypotaurine metabolism",5,3,2,0.0776998712980799,0.208165478198751
"path:lpl00350","Tyrosine metabolism",8,4,0,0.0804936661978133,1
"path:lpl00030","Pentose phosphate pathway",15,6,1,0.0963251510013542,0.942565226341226
"path:lpl00240","Pyrimidine metabolism",37,12,0,0.10342605921774,1
