"","gene","sign_pVal.logFC","X.Replicon.Name","Replicon.Accession","Start","Stop","Strand","GeneID","Locus","Protein.product","Length","COG.s.","Protein.name","class","subclass","LocateP.Subcellular.Localization.Prediction"
"62","lp_1438",-8.67936170735515,"chr","NC_004567.2",1317655,1318134,"+",1062420,"ribH","YP_004889285.1",159,"-","riboflavin synthase, beta chain","Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD","@Intracellular"
"60","lp_1436",-8.60426645156184,"chr","NC_004567.2",1316023,1316442,"+",1062429,"ribB","YP_004889283.1",139,"-","riboflavin synthase, alpha chain","Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD","@Multi-transmembrane"
"61","lp_1437",-8.53353466316629,"chr","NC_004567.2",1316444,1317658,"+",1062427,"ribA","YP_004889284.1",404,"-","3,4-dihydroxy-2-butanone 4-phosphate synthase /GTP cyclohydrolase II","Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD","@Intracellular"
"127","lp_2629",-5.30406323867906,"chr","NC_004567.2",2341564,2343321,"-",1062877,"pox3","YP_004890281.1",585,"-","pyruvate oxidase","Energy metabolism","Aerobic","@Intracellular"
"14","lp_0170",-5.27804416809996,"chr","NC_004567.2",146030,146398,"+",1061297,"dak3","YP_004888227.1",122,"-","dihydroxyacetone phosphotransferase, phosphoryl donor protein","Fatty acid and phospholipid metabolism","Glycerolipid metabolism","@Intracellular"
"13","lp_0169",-4.66467394774594,"chr","NC_004567.2",145452,146033,"+",1061298,"dak2","YP_004888226.1",193,"-","dihydroxyacetone phosphotransferase,ADP-binding subunit","Fatty acid and phospholipid metabolism","Glycerolipid metabolism","@Intracellular"
"12","lp_0168",-4.61040152480506,"chr","NC_004567.2",144440,145438,"+",1061299,"dak1B","YP_004888225.1",332,"-","dihydroxyacetone phosphotransferase,dihydroxyacetone binding subunit","Fatty acid and phospholipid metabolism","Glycerolipid metabolism","@Intracellular"
"15","lp_0171",-4.46983135467463,"chr","NC_004567.2",146413,147120,"+",1061296,"dhaP","YP_004888228.1",235,"-","dihydroxyacetone transport protein","Transport and binding proteins","Carbohydrates, organic alcohols and acids","@Multi-transmembrane"
"63","lp_1442",-3.56281735191884,"chr","NC_004567.2",1319554,1320195,"+",1062415,"-","YP_004889288.1",213,"-","Crp/FNR family transcriptional regulator","Regulatory functions","Crp/FNR-family regulators","@Intracellular"
"51","lp_0981",-2.8506962373364,"chr","NC_004567.2",911786,912112,"-",1063718,"brnE","YP_004888925.1",108,"-","branched-chain amino acid transport protein","Transport and binding proteins","Amino acids, peptides and amines","@Multi-transmembrane"
"9","lp_0155",-2.82798383754561,"chr","NC_004567.2",133259,134044,"+",1061315,"-","YP_004888214.1",261,"-","hypothetical protein lp_0155","Hypothetical proteins","Not conserved: other","@Multi-transmembrane"
"19","lp_0271",-2.77002139527603,"chr","NC_004567.2",247890,248453,"+",1061178,"-","YP_004888312.1",187,"-","aromatic acid carboxylyase, subunit B","Hypothetical proteins","Conserved: putative function","@Intracellular"
"20","lp_0272",-2.69664087512034,"chr","NC_004567.2",248456,248866,"+",1061175,"-","YP_004888313.1",136,"-","aromatic acid carboxylyase, subunit D","Hypothetical proteins","Conserved: putative function","@Intracellular"
"7","lp_0127",-2.45101482962252,"chr","NC_004567.2",113650,114252,"-",1061342,"-","YP_004888194.1",200,"-","NADPH-dependent FMN reductase family protein","Hypothetical proteins","Conserved: putative function","@Intracellular"
