#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_004567.2	1	1368	+	1061116	dnaA	lp_0001	YP_004888094.1	455	-	chromosomal replication initiation protein DnaA
chr	NC_004567.2	1546	2685	+	1061106	dnaN	lp_0002	YP_004888095.1	379	-	DNA-directed DNA polymerase III subunit beta
chr	NC_004567.2	3210	3443	+	1061118	-	lp_0004	YP_004888096.1	77	-	hypothetical protein lp_0004
chr	NC_004567.2	3444	4568	+	1061119	recF	lp_0005	YP_004888097.1	374	-	DNA repair and genetic recombination protein RecF
chr	NC_004567.2	4565	6511	+	1061120	gyrB	lp_0006	YP_004888098.1	648	-	DNA gyrase subunit B
chr	NC_004567.2	6676	9237	+	1061121	gyrA	lp_0007	YP_004888099.1	853	-	DNA gyrase subunit A
chr	NC_004567.2	9860	10159	+	1061123	rpsF	lp_0009	YP_004888100.1	99	-	30S ribosomal protein S6
chr	NC_004567.2	10196	10798	+	1061124	ssb	lp_0010	YP_004888101.1	200	-	single-strand DNA-binding protein
chr	NC_004567.2	10837	11073	+	1061125	rpsR	lp_0011	YP_004888102.1	78	-	30S ribosomal protein S18
chr	NC_004567.2	11254	13266	+	1061126	-	lp_0012	YP_004888103.1	670	-	phosphoesterase, DHH family
chr	NC_004567.2	13279	13731	+	1061127	rplI	lp_0013	YP_004888104.1	150	-	50S ribosomal protein L9
chr	NC_004567.2	13747	15171	+	1061128	dnaC	lp_0014	YP_004888105.1	474	-	replicative DNA helicase DnaC
chr	NC_004567.2	15393	16616	+	1061283	-	lp_0015	YP_004888106.1	407	-	transport protein, major facilitator superfamily (MFS)
chr	NC_004567.2	16638	17435	+	1061284	proB	lp_0016	YP_004888107.1	265	-	glutamate 5-kinase
chr	NC_004567.2	17454	18692	+	1061286	proA	lp_0017	YP_004888108.1	412	-	glutamate-5-semialdehyde dehydrogenase
chr	NC_004567.2	19153	20769	+	1061288	-	lp_0018	YP_004888109.1	538	-	oligopeptide ABC transporter,oligopeptide-binding protein
chr	NC_004567.2	21099	23003	+	1061293	glgB	lp_0020	YP_004888110.1	634	-	1,4-alpha-glucan-branching protein
chr	NC_004567.2	22993	24132	+	1061258	glgC	lp_0021	YP_004888111.1	379	-	glucose-1-P adenylyltransferase, enzymatic subunit
chr	NC_004567.2	24129	25301	+	1061259	glgD	lp_0022	YP_004888112.1	390	-	glucose-1-P adenylyltransferase, regulatory subunit
chr	NC_004567.2	25294	26733	+	1061257	glgA	lp_0023	YP_004888113.1	479	-	glycogen synthase, ADP-glucose transglycosylase
chr	NC_004567.2	26753	29149	+	1061256	glgP	lp_0024	YP_004888114.1	798	-	glycogen phosphorylase
chr	NC_004567.2	29167	30984	+	1061255	malZ	lp_0025	YP_004888115.1	605	-	maltodextrin glucosidase
chr	NC_004567.2	31317	32084	+	1061254	-	lp_0026	YP_004888116.1	255	-	hydrolase, HAD superfamily, Cof family
chr	NC_004567.2	32236	32907	-	1061253	pgmB1	lp_0027	YP_004888117.1	223	-	beta-phosphoglucomutase
chr	NC_004567.2	32925	35645	-	1061252	-	lp_0028	YP_004888118.1	906	-	kojibiose-like phosphorylase, specific
chr	NC_004567.2	36033	36482	-	1061251	-	lp_0030	YP_004888119.1	149	-	pyridoxamine 5\'-phosphate oxidase family protein, FMN-binding
chr	NC_004567.2	36680	36880	+	1061250	cspL	lp_0031	YP_004888120.1	66	-	cold shock protein CspL
chr	NC_004567.2	36972	37196	+	1061249	-	lp_0032	YP_004888121.1	74	-	hypothetical protein lp_0032
chr	NC_004567.2	37770	38477	+	1061246	rrp1	lp_0036	YP_004888122.1	235	-	two-component system response regulator
chr	NC_004567.2	38491	40365	+	1061245	hpk1	lp_0037	YP_004888123.1	624	-	two-component system histidine protein kinase; sensor protein
chr	NC_004567.2	40346	41671	+	1061242	-	lp_0038	YP_004888124.1	441	-	regulator of two-component system, YycH family
chr	NC_004567.2	41683	42537	+	1061240	-	lp_0039	YP_004888125.1	284	-	regulator of two-component system, YycI family
chr	NC_004567.2	42895	43710	+	1061239	-	lp_0041	YP_004888126.1	271	-	Zn-dependent hydrolase, beta-lactamase superfamily
chr	NC_004567.2	43821	45083	+	1061238	htrA	lp_0043	YP_004888127.1	420	-	serine protease HtrA
chr	NC_004567.2	45638	46117	+	1061237	rlmH	lp_0045	YP_004888128.1	159	-	ribosomal RNA large subunit methyltransferase H
chr	NC_004567.2	46600	47175	+	1061236	-	lp_0046	YP_004888129.1	191	-	TetR family transcriptional regulator
chr	NC_004567.2	47239	48669	+	1061235	calB	lp_0047	YP_004888130.1	476	-	coniferyl aldehyde dehydrogenase
chr	NC_004567.2	48877	49509	+	1061234	-	lp_0048	YP_004888131.1	210	-	uracil-DNA glycosylase family protein
chr	NC_004567.2	49758	50408	+	1061233	pnbA	lp_0050	YP_004888132.1	216	-	nitrobenzoate reductase
chr	NC_004567.2	50524	50892	+	1061232	-	lp_0052	YP_004888133.1	122	-	6-pyruvoyl-tetrahydropterin synthase family protein
chr	NC_004567.2	50960	51607	-	1061229	-	lp_0053	YP_004888134.1	215	-	fibronectin-binding protein
chr	NC_004567.2	51804	52637	-	1061228	-	lp_0054	YP_004888135.1	277	-	hypothetical protein lp_0054
chr	NC_004567.2	52791	55160	-	1061226	-	lp_0055	YP_004888136.1	789	-	fumarate reductase, flavoprotein subunit
chr	NC_004567.2	55625	57040	+	1061225	-	lp_0056	YP_004888137.1	471	-	divalent anion:sodium (Na+) symporter, DASS family
chr	NC_004567.2	57150	58037	+	1061224	-	lp_0057	YP_004888138.1	295	-	LysR family transcriptional regulator
chr	NC_004567.2	58107	58532	-	1061223	-	lp_0058	YP_004888139.1	141	-	flavoprotein
chr	NC_004567.2	58868	59293	+	1061222	arsC	lp_0059	YP_004888140.1	141	-	arsenate reductase
chr	NC_004567.2	59613	60473	+	1061221	-	lp_0060	YP_004888141.1	286	-	short-chain dehydrogenase
chr	NC_004567.2	60505	61350	+	1061220	adc	lp_0061	YP_004888142.1	281	-	acetoacetate decarboxylase
chr	NC_004567.2	61378	62031	+	1061219	-	lp_0062	YP_004888143.1	217	-	nitroreductase family protein
chr	NC_004567.2	62200	63735	+	1061282	-	lp_0063	YP_004888144.1	511	-	hypothetical protein lp_0063
chr	NC_004567.2	64066	64737	+	1061279	pgmB2	lp_0066	YP_004888145.1	223	-	beta-phosphoglucomutase
chr	NC_004567.2	64823	65839	-	1061278	pva1	lp_0067	YP_004888146.1	338	-	penicillin V acylase family protein
chr	NC_004567.2	66113	67456	+	1061277	-	lp_0068	YP_004888147.1	447	-	membrane protein
chr	NC_004567.2	67605	68351	+	1061275	ptp1	lp_0069	YP_004888148.1	248	-	protein-tyrosine phosphatase
chr	NC_004567.2	68424	69671	-	1061274	-	lp_0070	YP_004888149.1	415	-	4-hydroxyphenylacetate-3-hydroxylase,C-terminus (pseudogene)
chr	NC_004567.2	69747	69860	-	1061272	-	lp_0071	YP_004888150.1	37	-	4-hydroxyphenylacetate-3-hydroxylase,N-terminus (pseudogene)
chr	NC_004567.2	69943	70392	-	1061271	-	lp_0072	YP_004888151.1	149	-	RNA-binding protein, ASCH domain
chr	NC_004567.2	70536	71204	+	1061268	-	lp_0073	YP_004888152.1	222	-	glutamine amidotransferase
chr	NC_004567.2	71292	72212	-	1061267	-	lp_0074	YP_004888153.1	306	-	DeoR family transcriptional regulator
chr	NC_004567.2	72330	72977	+	1061266	azoR1	lp_0075	YP_004888154.1	215	-	FMN-dependent NADH-azoreductase
chr	NC_004567.2	73239	75257	+	1061265	fusA1	lp_0076	YP_004888155.1	672	-	elongation factor G
chr	NC_004567.2	75275	75961	+	1061264	-	lp_0077	YP_004888156.1	228	-	hypothetical protein lp_0077
chr	NC_004567.2	75967	76851	+	1061263	-	lp_0078	YP_004888157.1	294	-	permease, drug/metabolite transporter (DMT) superfamily
chr	NC_004567.2	77039	77530	+	1061262	-	lp_0080	YP_004888158.1	163	-	GNAT family acetyltransferase
