"","gene","sign_pVal.logFC","X.Replicon.Name","Replicon.Accession","Start","Stop","Strand","GeneID","Locus","Protein.product","Length","COG.s.","Protein.name","class","subclass","LocateP.Subcellular.Localization.Prediction"
"56","lp_0262",-6.21425127831248,"chr","NC_004567.2",235306,236025,"+",1061190,"treR","YP_004888304.1",239,"-","trehalose operon transcriptional repressor,GntR family","Regulatory functions","GntR-family regulators","@Intracellular"
"93","lp_0575",-5.074118773801,"chr","NC_004567.2",533143,534117,"+",1061523,"pts9AB","YP_004888574.1",324,"-","PTS system, mannose-specific EIIAB component","Transport and binding proteins","PTS systems","@Intracellular"
"94","lp_0576",-5.0180144016166,"chr","NC_004567.2",534155,534961,"+",1061530,"pts9C","YP_004888575.1",268,"-","PTS system, mannose-specific EIIC component","Transport and binding proteins","PTS systems","@Multi-transmembrane(Lipid modified N-termini)"
"57","lp_0263",-4.73045356664476,"chr","NC_004567.2",236050,237693,"+",1061188,"treA","YP_004888305.1",547,"-","trehalose-6-phosphate hydrolase","Central intermediary metabolism","Biosynthesis and degradation of polysaccharides","@Intracellular"
"69","lp_0349",-4.56119466422446,"chr","NC_004567.2",318549,319865,"-",1062189,"amtB","YP_004888382.1",438,"-","ammonium transport protein","Transport and binding proteins","Cations","@Multi-transmembrane"
"223","lp_1908",-3.569912029195,"chr","NC_004567.2",1725553,1726758,"+",1062047,"-","YP_004889684.1",401,"-","membrane protein","Hypothetical proteins","Conserved: membrane proteins","@Multi-transmembrane"
"101","lp_0802",-3.39167803858935,"chr","NC_004567.2",743456,744892,"+",1063874,"-","YP_004888775.1",478,"-","polar amino acid ABC transporter, substrate binding and permease protein","Transport and binding proteins","Amino acids, peptides and amines","@Multi-transmembrane"
"102","lp_0803",-3.34196111993341,"chr","NC_004567.2",744895,745629,"+",1063875,"glnQ1","YP_004888776.1",244,"-","glutamine ABC transporter ATP-binding protein","Transport and binding proteins","Amino acids, peptides and amines","@Intracellular"
"265","lp_2488a",-3.17711015187856,"chr","NC_004567.2",2225115,2225246,"-",11933303,"-","YP_004890173.1",43,"-","hypothetical protein lp_2488a","Hypothetical proteins","Not conserved: other",""
"236","lp_2104",-3.13353317920421,"chr","NC_004567.2",1899212,1899877,"-",1063981,"cps4E","YP_004889854.1",221,"-","polysaccharide biosynthesis polyprenyl glycosylphosphotransferase, priming glycosyltransferase","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@N-terminally anchored (No CS)"
"237","lp_2106",-3.12236248247214,"chr","NC_004567.2",1900821,1901615,"-",1063900,"cps4C","YP_004889856.1",264,"-","polysaccharide biosynthesis protein; phosphatase","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Intracellular"
"108","lp_0838",-3.10969074733668,"chr","NC_004567.2",776388,776900,"-",1061866,"-","YP_004888807.1",170,"-","membrane protein","Hypothetical proteins","Conserved: other","@Multi-transmembrane"
"234","lp_2100",-3.04631834134063,"chr","NC_004567.2",1894853,1895821,"-",1062269,"cps4I","YP_004889850.1",322,"-","glycosyltransferase, family 2 (GT2)","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Intracellular"
"66","lp_0329",-3.01736251474066,"chr","NC_004567.2",300197,301564,"-",1062166,"acdH","YP_004888365.1",455,"-","acetaldehyde dehydrogenase","Energy metabolism","Fermentation","@Intracellular"
"233","lp_2099",-2.95142697917854,"chr","NC_004567.2",1893322,1894773,"-",1061518,"cps4J","YP_004889849.1",483,"-","polysaccharide repeat unit transporter (flippase)","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Multi-transmembrane"
"43","lp_0210",-2.90574180125096,"chr","NC_004567.2",193763,194950,"+",1061418,"ack1","YP_004888262.1",395,"-","acetate kinase","Energy metabolism","Fermentation","@Intracellular"
"304","lp_2776",-2.78533851055079,"chr","NC_004567.2",2467214,2468524,"-",1063115,"dsdA","YP_004890398.1",436,"-","D-serine dehydratase","Energy metabolism","Amino acids and amines","@Intracellular"
"351","lp_3134",-2.74101401282412,"chr","NC_004567.2",2803412,2803783,"+",1063873,"-","YP_004890688.1",123,"-","extracellular protein","Cell envelope","Cell surface proteins: membrane bound","@N-terminally anchored (No CS)"
"235","lp_2102",-2.71903779051784,"chr","NC_004567.2",1897077,1898105,"-",1064038,"cps4G","YP_004889852.1",342,"-","glycosyltransferase, family 1 (GT1)","Cell envelope","Surface polysaccharides, lipopolysaccharides and antigens","@Intracellular"
