"","gene","sign_pVal.logFC","X.Replicon.Name","Replicon.Accession","Start","Stop","Strand","GeneID","Locus","Protein.product","Length","COG.s.","Protein.name","class","subclass","LocateP.Subcellular.Localization.Prediction"
"56","lp_1436",-8.23995080314472,"chr","NC_004567.2",1316023,1316442,"+",1062429,"ribB","YP_004889283.1",139,"-","riboflavin synthase, alpha chain","Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD","@Multi-transmembrane"
"58","lp_1438",-8.09931601544734,"chr","NC_004567.2",1317655,1318134,"+",1062420,"ribH","YP_004889285.1",159,"-","riboflavin synthase, beta chain","Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD","@Intracellular"
"57","lp_1437",-7.59436192468579,"chr","NC_004567.2",1316444,1317658,"+",1062427,"ribA","YP_004889284.1",404,"-","3,4-dihydroxy-2-butanone 4-phosphate synthase /GTP cyclohydrolase II","Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD","@Intracellular"
"125","lp_2749",-3.78055611158435,"chr","NC_004567.2",2445162,2445488,"+",1063070,"-","YP_004890376.1",108,"-","hypothetical protein lp_2749","Hypothetical proteins","Not conserved: other","@Intracellular"
"42","lp_0934",-3.40468628113993,"chr","NC_004567.2",864045,864377,"+",1064029,"-","YP_004888885.1",110,"-","PTS system transporter subunit IIA","Hypothetical proteins","Conserved: other","@Intracellular"
"188","lp_3546",-3.14021168710013,"chr","NC_004567.2",3165720,3166991,"-",1061926,"pts35C","YP_004891024.1",423,"-","PTS system, galactitol-specific EIIC component","Transport and binding proteins","PTS systems","@Multi-transmembrane"
"126","lp_2795",-3.10203203724883,"chr","NC_004567.2",2485125,2488244,"-",1063145,"-","YP_004890414.1",1039,"-","cell surface protein precursor, LPXTG-motif cell wall anchor","Cell envelope","Cell surface proteins: LPxTG anchor","@LPxTG Cell-wall anchored"
"43","lp_0935",-3.09900964600427,"chr","NC_004567.2",864484,865056,"+",1064027,"-","YP_004888886.1",190,"-","hypothetical protein lp_0935","Hypothetical proteins","Not conserved: other","@Intracellular"
"190","lp_3548",-3.09128354229576,"chr","NC_004567.2",3167357,3167827,"-",1061942,"pts35A","YP_004891026.1",156,"-","PTS system, galactitol-specific EIIA component","Transport and binding proteins","PTS systems","@Intracellular"
"10","lp_0127",-3.02162197976437,"chr","NC_004567.2",113650,114252,"-",1061342,"-","YP_004888194.1",200,"-","NADPH-dependent FMN reductase family protein","Hypothetical proteins","Conserved: putative function","@Intracellular"
"187","lp_3545",-3.0052568960128,"chr","NC_004567.2",3164581,3165639,"-",1061927,"-","YP_004891023.1",352,"-","D-arabitol-phosphate dehydrogenase","Energy metabolism","Sugars","@Intracellular"
"189","lp_3547",-2.94227078985859,"chr","NC_004567.2",3167026,3167322,"-",1061947,"pts35B","YP_004891025.1",98,"-","PTS system, galactitol-specific EIIB component","Transport and binding proteins","PTS systems","@N-terminally anchored (No CS)"
"47","lp_0981",-2.77757002019211,"chr","NC_004567.2",911786,912112,"-",1063718,"brnE","YP_004888925.1",108,"-","branched-chain amino acid transport protein","Transport and binding proteins","Amino acids, peptides and amines","@Multi-transmembrane"
"159","lp_3178",-2.73703880913244,"chr","NC_004567.2",2836380,2836934,"+",1064025,"-","YP_004890723.1",184,"-","extracellular protein","Cell envelope","Cell surface proteins: other","@Secretory(released) (with CS)"
